well_id,error
A15-05__3330760861.dlis,"read timeout > 120s (killed, skipped)"
AKM-06__359828851.las,RuntimeError: KeyError: 'No ~ sections found. Is this a LAS file?'
AKM-17__359828853.las,RuntimeError: KeyError: 'No ~ sections found. Is this a LAS file?'
AME-205-S2__975460895.dlis,"read timeout > 120s (killed, skipped)"
AND-06-S1,no readable log file for borehole
AND-06-S1__2243054659.dlis,"read timeout > 120s (killed, skipped)"
ANJ-06__1776276152.dlis,RuntimeError: ValueError: no depth-indexed frame with scalar curves in DLIS
BDK-01-S3__359828857.las,RuntimeError: KeyError: 'No ~ sections found. Is this a LAS file?'
BGM-10-S1,no readable log file for borehole
BDM-05__1431027705.dlis,RuntimeError: ValueError: no depth-indexed frame with scalar curves in DLIS
BDM-05__1431027982.dlis,RuntimeError: ValueError: no depth-indexed frame with scalar curves in DLIS
BDM-05__1431028026.dlis,RuntimeError: ValueError: no depth-indexed frame with scalar curves in DLIS
BGM-10__1813363175.las,RuntimeError: ValueError: could not convert string to float: '22:00:00/22-Dec-2013'
BGM-10-S1__1813911127.las,RuntimeError: ValueError: could not convert string to float: '00:12:35/27-Dec-2013'
BGM-14__1829659158.las,RuntimeError: ValueError: could not convert string to float: '22:12:25/11-Mar-2014'
BGM-17,no readable log file for borehole
BGM-17-S1,no readable log file for borehole
BGM-18,no readable log file for borehole
BGM-15__1829740391.las,RuntimeError: ValueError: could not convert string to float: '21:23:36/18-Mar-2014'
BGM-17__3839910765.las,RuntimeError: ValueError: could not convert string to float: '06:02:04/23-Nov-2014'
BGM-17__3839910897.las,RuntimeError: ValueError: could not convert string to float: '12:05:00/27-Aug-2014'
BGM-17__3839910989.las,RuntimeError: ValueError: could not convert string to float: '11:15:40/03-Sep-2014'
BGM-17-S1__3839911133.las,RuntimeError: ValueError: could not convert string to float: '17:15:14/05-Dec-2014'
BGM-17-S1__3839911211.las,RuntimeError: ValueError: could not convert string to float: '13:14:39/07-Dec-2014'
BGM-17-S1__3839911289.las,RuntimeError: ValueError: could not convert string to float: '14:09:32/10-Dec-2014'
BGM-17-S1__3839911369.las,RuntimeError: ValueError: could not convert string to float: '11:32:33/13-Dec-2014'
BGM-18__1829840157.las,RuntimeError: ValueError: could not convert string to float: '14:37:41/14-Sep-2014'
BGM-19,no readable log file for borehole
BGM-23,no readable log file for borehole
BGM-24,no readable log file for borehole
BGM-25,no readable log file for borehole
BGM-19__1829841533.las,RuntimeError: ValueError: could not convert string to float: '16:08:26/07-Aug-2014'
BGM-19__1829841652.las,RuntimeError: ValueError: could not convert string to float: '15:35:55/21-Sep-2014'
BGM-23__1830044599.las,RuntimeError: ValueError: could not convert string to float: '00:37:32/06-Oct-2014'
